title,location,region,western,category,date_nomination,date_posting,num_editors,votes,codes
Arrest of Riek Machar,"Juba, South Sudan",East Africa,No,Conflicts/Violence,2025-03-27,2025-03-29,17,8:1,"quality_concerns
expansion_needed
discussion_long
precedent_support"
Battle of Khartoum (2023–2025),"Khartoum, Sudan",North Africa,No,Conflicts/Violence,2025-03-27,2025-03-29,26,16:4,"quality_concerns
expansion_needed
discussion_long"
2025 Indonesian protests,Indonesia,Southeast Asia,No,Protests,2025-03-27,2025-03-27,12,6:1,"sources_quality_good
ready_immediate
discussion_short"
Christina McKelvie,"Glasgow, Scotland",British Isles,Yes,Deaths,2025-03-29,2025-03-31,6,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Fuad Noman,"Belo Horizonte, Minas Gerais, Brazil",South America,No,Deaths,2025-03-27,2025-03-28,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Stef Wertheimer,Israel,Middle East,No,Deaths,2025-03-26,2025-03-28,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
March 2025 South Korea wildfires,"Uiseong County, South Korea",East Asia,No,Disasters,2025-03-26,2025-03-27,14,9:1,"quality_concerns
expansion_needed
discussion_long"
Terry Manning,"El Paso, Texas, USA",North America,Yes,Deaths,2025-03-28,2025-03-29,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Masahiro Shinoda,,East Asia,No,Deaths,2025-03-28,2025-03-29,5,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Melsonby Hoard,"Melsonby, North Yorkshire, England",British Isles,Yes,Science/Tech,2025-03-25,2025-03-26,8,5:0,"sources_quality_good
quality_praised
ready_immediate
discussion_short"
Kitty Dukakis,"Brookline, Massachusetts, USA",North America,Yes,Deaths,2025-03-22,2025-03-24,7,4:1,"policy:itnrd
policy_support
quality_concerns
discussion_long"
Eddie James,"Florida State Prison, Raiford, Florida, USA",North America,Yes,Legal,2025-03-21,2025-03-24,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Kirsty Coventry,"Lausanne, Switzerland",Western Europe,Yes,Political Events,2025-03-20,2025-03-24,25,12:7,"quality_concerns
expansion_needed
discussion_long"
Aaron Gunches,"Florence State Prison, Arizona, USA",North America,Yes,Legal,2025-03-19,2025-03-19,3,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2025 Turkish protests,Turkey,Western Asia,No,Protests,2025-03-19,2025-03-23,22,12:4,"quality_concerns
expansion_needed
discussion_long
precedent_support"
March 2025 Israeli attacks on the Gaza Strip,Gaza Strip,Western Asia,No,Conflicts/Violence,2025-03-18,2025-03-18,21,20:1,"quality_concerns
discussion_long"
Kočani nightclub fire,"Kočani, North Macedonia",Southeastern Europe,No,Disasters,2025-03-16,2025-03-17,12,7:1,"quality_concerns
expansion_needed
discussion_long"
Peter Bichsel,"Zuchwil, Switzerland",Western Europe,Yes,Deaths,2025-03-17,2025-03-19,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Slick Watts,,North America,Yes,Deaths,2025-03-17,2025-03-17,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
March 2025 United States attacks in Yemen,Yemen,Middle East,Yes,Conflicts/Violence,2025-03-16,2025-03-19,10,6:2,"quality_concerns
expansion_needed
discussion_long"
"Tornado outbreak of March 13–16, 2025",United States,North America,Yes,Disasters,2025-03-15,2025-03-18,18,11:4,"quality_concerns
expansion_needed
discussion_long"
Manfred Schukowski,Germany,Western Europe,Yes,Deaths,2025-03-19,2025-03-20,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Dag Solstad,Norway,Northern Europe,Yes,Deaths,2025-03-18,2025-03-20,2,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Virginia Newell,"Winston-Salem, North Carolina, USA",North America,Yes,Deaths,2025-03-15,2025-03-19,2,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Alan Simpson (American politician),"Cody, Wyoming, USA",North America,Yes,Deaths,2025-03-14,2025-03-19,5,2:0,"policy:itnrd
policy_support
quality_concerns
discussion_long"
Sofia Gubaidulina,"Appen, Germany",Western Europe,Yes,Deaths,2025-03-13,2025-03-15,9,4:0,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
Junior Bridgeman,"Louisville, Kentucky, USA",North America,Yes,Deaths,2025-03-12,2025-03-13,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Jaffar Express hijacking,"Balochistan, Pakistan",South Asia,No,Conflicts/Violence,2025-03-11,2025-03-13,18,16:0,"quality_concerns
expansion_needed
discussion_long"
Arrest of Rodrigo Duterte,"Metro Manila, Philippines",Southeast Asia,No,Legal,2025-03-11,2025-03-12,31,20:7,"quality_concerns
discussion_long
precedent_support"
Marc Neil-Jones,Vanuatu,Oceania,No,Deaths,2025-03-11,2025-03-13,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Stanley R. Jaffe,"Rancho Mirage, California, USA",North America,Yes,Deaths,2025-03-11,2025-03-14,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Art Schallock,"Sonoma, California, USA",North America,Yes,Deaths,2025-03-09,2025-03-11,4,2:1,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Doyin Okupe,"Lagos, Nigeria",West Africa,No,Deaths,2025-03-08,2025-03-11,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
IM-2,"Mons Mouton, lunar south pole",Moon,Yes,Science/Tech,2025-03-06,2025-03-11,15,6:3,"policy:itnr
policy_support
quality_concerns
discussion_long"
Edesio Alejandro,"Alcalá de Henares, Spain",Western Europe,No,Deaths,2025-03-08,2025-03-10,2,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
2024 Turing Award,,,Yes,Science/Tech,2025-03-07,2025-03-10,6,2:0,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_long"
2025 United States trade war with Canada and Mexico,"United States, Canada and Mexico","North America, East Asia",Yes,Economic,2025-03-04,2025-03-05,17,11:0,"quality_concerns
discussion_long"
Jack Vettriano,"Nice, France",Western Europe,Yes,Deaths,2025-03-03,2025-03-03,6,3:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
97th Academy Awards,"Hollywood, Los Angeles, California, USA",North America,Yes,Sports/Culture,2025-03-03,2025-03-02,11,5:1,"policy:itnr
policy_support
quality_concerns
expansion_needed
discussion_short"
Blue Ghost Mission 1,"Mare Crisium, Moon",Outer space,Yes,Science/Tech,2025-03-02,2025-03-03,21,11:3,"policy:itnr
policy_support
quality_concerns
discussion_long"
2024 United Nations Biodiversity Conference,"Rome, Italy",Southern Europe,N/A,Political Events,2025-02-28,2025-02-28,12,6:3,"quality_concerns
discussion_long"
Betsy Arakawa,"Santa Fe, New Mexico, USA",North America,Yes,Deaths,2025-03-03,2025-03-04,4,2:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Anil R. Joshi,"Mumbai, India",South Asia,No,Deaths,2025-02-26,2025-03-01,3,1:0,"policy:itnrd
policy_support
sources_quality_good
ready_immediate
discussion_short"
Michelle Trachtenberg,"Manhattan, New York City, USA",North America,Yes,Deaths,2025-02-26,2025-02-27,14,7:3,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
Jeong Su-il,South Korea,East Asia,No,Deaths,2025-02-26,2025-02-27,6,2:1,"policy:itnrd
policy_support
quality_concerns
expansion_needed
discussion_long"
